20:25 sott
20:35 m2t 60
21:07 ta 2
21:15 ta 2
21:29 ta 2
21:40 ta 2
21:49 ta 2
21:58 ta 2
22:10 ta 2
22:15 ta 2
22:20 ta 2
22:39 ta 2
22:51 ta 2
23:04 ta 2
23:11 ta 2
23:26 ta 2
23:33 ta 2
23:48 ta 2
24:20 ct "Ich muss nicht unbedingt genau 2 oder 3 tags vergeben oder? F: Nein."
24:23 ce
24:24 ta 1
24:34 ta 2
24:44 ta 3
25:04 ta 2
25:11 ta 2
25:19 ta 2
25:25 ta 2
25:31 ta 2
25:35 ta 2
25:41 ta 2
25:50 ta 2
25:55 ta 2
26:01 ta 2
26:05 ta 2
26:08 ta 2
26:12 ta 2
26:23 ta 2
26:34 ta 2
26:45 ta 2
26:55 ta 2
27:04 ta 2
27:22 ta 1
27:23 ta 1
27:28 ta 2
27:29 ta 2
27:40 ta 3
27:48 ta 2
28:00 ta 2
28:01 ta 2
28:09 ta 2
28:11 ta 2
28:21 ta 3
28:38 ta 3
28:51 ta 1
28:59 ta 2
29:05 ta 2
29:18 ta 3
29:26 ta 2
29:29 ta 2
29:35 ta 2
29:51 ta 3
29:59 ta 3
30:07 ta 3
30:16 ta 2
30:17 eot
30:18 eott
